rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri.1,track_href,analysis_url,duration_ms,time_signature,bert_nega,bert_posi,bert_score,nltk_neg,nltk_neu,nltk_pos,nltk_score
127,spotify:track:5TRPicyLGbAF2LGBFbHGvO,"Kanye West, Dwele",Flashing Lights,Roc-A-Fella,53,136,55,2168710,0.639,0.628,6,-7.578,0,0.0399,0.0381,0.0,0.386,0.43,90.482,audio_features,spotify:track:5TRPicyLGbAF2LGBFbHGvO,https://api.spotify.com/v1/tracks/5TRPicyLGbAF2LGBFbHGvO,https://api.spotify.com/v1/audio-analysis/5TRPicyLGbAF2LGBFbHGvO,237507,4,10.0,8.0,-0.0927421384387546,1.0,12.0,5.0,0.1435611111111111
128,spotify:track:7KokYm8cMIXCsGVmUvKtqf,Taylor Swift,Karma,Taylor Swift,5,124,15,2160536,0.642,0.62,8,-7.091,1,0.0666,0.0734,0.0,0.483,0.0969,90.02,audio_features,spotify:track:7KokYm8cMIXCsGVmUvKtqf,https://api.spotify.com/v1/tracks/7KokYm8cMIXCsGVmUvKtqf,https://api.spotify.com/v1/audio-analysis/7KokYm8cMIXCsGVmUvKtqf,204852,4,23.0,13.0,-0.1720201075077057,2.0,33.0,1.0,0.0149194444444444
129,spotify:track:6q4yusLwjDYEcF6jXHdt7J,Daniel Caesar,Do You Like Me?,Republic Records,129,-1,1,2148541,0.714,0.407,11,-6.806,1,0.0422,0.522,0.00618,0.128,0.358,76.978,audio_features,spotify:track:6q4yusLwjDYEcF6jXHdt7J,https://api.spotify.com/v1/tracks/6q4yusLwjDYEcF6jXHdt7J,https://api.spotify.com/v1/audio-analysis/6q4yusLwjDYEcF6jXHdt7J,227664,4,37.0,9.0,-0.3624506981476493,2.0,40.0,4.0,-0.0254652173913043
130,spotify:track:2Dct3GykKZ58hpWRFfe2Qd,Zach Bryan,Heading South,Warner Records,70,126,12,2147811,0.68,0.246,4,-14.112,1,0.058,0.783,0.0,0.106,0.388,110.23,audio_features,spotify:track:2Dct3GykKZ58hpWRFfe2Qd,https://api.spotify.com/v1/tracks/2Dct3GykKZ58hpWRFfe2Qd,https://api.spotify.com/v1/audio-analysis/2Dct3GykKZ58hpWRFfe2Qd,171693,4,6.0,3.0,-0.2026953697204589,0.0,9.0,0.0,0.0630999999999999
131,spotify:track:4h5x3XHLVYFJaItKuO2rhy,"SZA, Phoebe Bridgers",Ghost in the Machine (feat. Phoebe Bridgers),Top Dawg Entertainment/RCA Records,17,87,8,2144758,0.624,0.433,6,-9.572,1,0.0467,0.837,0.0294,0.113,0.589,124.979,audio_features,spotify:track:4h5x3XHLVYFJaItKuO2rhy,https://api.spotify.com/v1/tracks/4h5x3XHLVYFJaItKuO2rhy,https://api.spotify.com/v1/audio-analysis/4h5x3XHLVYFJaItKuO2rhy,218587,4,32.0,20.0,-0.1418407502082678,2.0,49.0,1.0,0.0449096153846153
132,spotify:track:7jtQIBanIiJOMS6RyCx6jZ,Tom Odell,Another Love,ITNO/Columbia,89,114,20,2143552,0.442,0.538,4,-8.55,0,0.0451,0.717,2.95e-05,0.09,0.139,122.758,audio_features,spotify:track:7jtQIBanIiJOMS6RyCx6jZ,https://api.spotify.com/v1/tracks/7jtQIBanIiJOMS6RyCx6jZ,https://api.spotify.com/v1/audio-analysis/7jtQIBanIiJOMS6RyCx6jZ,244360,4,8.0,4.0,-0.1927978694438934,0.0,10.0,2.0,0.0773666666666666
133,spotify:track:2ZL7WZcjuYKi1KUDtp4kCC,"Drake, 21 Savage",Spin Bout U,OVO / Republic Records,6,144,13,2134490,0.773,0.701,7,-6.386,1,0.0512,0.01,0.0,0.163,0.203,129.963,audio_features,spotify:track:2ZL7WZcjuYKi1KUDtp4kCC,https://api.spotify.com/v1/tracks/2ZL7WZcjuYKi1KUDtp4kCC,https://api.spotify.com/v1/audio-analysis/2ZL7WZcjuYKi1KUDtp4kCC,214589,4,22.0,13.0,-0.1464742558343069,1.0,31.0,3.0,0.1185571428571428
134,spotify:track:2BcMwX1MPV6ZHP4tUT9uq6,"Drake, 21 Savage, Project Pat",Knife Talk (with 21 Savage ft. Project Pat),OVO,2,128,72,2134476,0.849,0.424,5,-9.579,0,0.324,0.0635,0.0,0.0834,0.153,145.887,audio_features,spotify:track:2BcMwX1MPV6ZHP4tUT9uq6,https://api.spotify.com/v1/tracks/2BcMwX1MPV6ZHP4tUT9uq6,https://api.spotify.com/v1/audio-analysis/2BcMwX1MPV6ZHP4tUT9uq6,242966,4,11.0,6.0,-0.1919843519435209,1.0,14.0,2.0,-0.0005294117647058
135,spotify:track:561jH07mF1jHuk7KlaeF0s,Eminem,Mockingbird,Aftermath,109,131,12,2124087,0.637,0.678,0,-3.798,1,0.266,0.209,0.0,0.156,0.254,84.039,audio_features,spotify:track:561jH07mF1jHuk7KlaeF0s,https://api.spotify.com/v1/tracks/561jH07mF1jHuk7KlaeF0s,https://api.spotify.com/v1/audio-analysis/561jH07mF1jHuk7KlaeF0s,250760,4,15.0,0.0,-0.5610774079958598,0.0,15.0,0.0,0.0842466666666666
136,spotify:track:0uxSUdBrJy9Un0EYoBowng,Lil Uzi Vert,20 Min,Generation Now/Atlantic,48,151,153,2120202,0.773,0.75,8,-4.009,0,0.117,0.109,0.0,0.174,0.783,123.426,audio_features,spotify:track:0uxSUdBrJy9Un0EYoBowng,https://api.spotify.com/v1/tracks/0uxSUdBrJy9Un0EYoBowng,https://api.spotify.com/v1/audio-analysis/0uxSUdBrJy9Un0EYoBowng,220587,4,11.0,7.0,-0.1371263861656189,0.0,15.0,3.0,0.1343166666666666
137,spotify:track:4RvWPyQ5RL0ao9LPZeSouE,Tears For Fears,Everybody Wants To Rule The World,UMC (Universal Music Catalogue),49,130,32,2113923,0.645,0.795,7,-12.095,1,0.0527,0.347,0.00389,0.104,0.535,112.067,audio_features,spotify:track:4RvWPyQ5RL0ao9LPZeSouE,https://api.spotify.com/v1/tracks/4RvWPyQ5RL0ao9LPZeSouE,https://api.spotify.com/v1/audio-analysis/4RvWPyQ5RL0ao9LPZeSouE,251489,4,9.0,2.0,-0.3794617436148904,0.0,10.0,1.0,0.0776090909090909
138,spotify:track:3qoftcUZaUOncvIYjFSPdE,Taylor Swift,Bejeweled,Taylor Swift,8,134,15,2113139,0.696,0.559,7,-9.19,1,0.0693,0.0618,5.58e-05,0.0887,0.433,163.999,audio_features,spotify:track:3qoftcUZaUOncvIYjFSPdE,https://api.spotify.com/v1/tracks/3qoftcUZaUOncvIYjFSPdE,https://api.spotify.com/v1/audio-analysis/3qoftcUZaUOncvIYjFSPdE,194166,4,6.0,5.0,-0.0994108536026694,0.0,10.0,1.0,0.0692272727272727
139,spotify:track:1eIXYZWEfJO3Na2LCCnIJE,SZA,Love Language,Top Dawg Entertainment/RCA Records,11,98,8,2109231,0.707,0.261,9,-10.139,0,0.0784,0.853,0.0,0.127,0.545,65.038,audio_features,spotify:track:1eIXYZWEfJO3Na2LCCnIJE,https://api.spotify.com/v1/tracks/1eIXYZWEfJO3Na2LCCnIJE,https://api.spotify.com/v1/audio-analysis/1eIXYZWEfJO3Na2LCCnIJE,183893,4,15.0,5.0,-0.3323491543531418,3.0,17.0,0.0,-0.139235
140,spotify:track:003vvx7Niy0yvhvHt4a68B,The Killers,Mr. Brightside,Island Records,60,160,127,2100013,0.352,0.911,1,-5.23,1,0.0747,0.00121,0.0,0.0995,0.236,148.033,audio_features,spotify:track:003vvx7Niy0yvhvHt4a68B,https://api.spotify.com/v1/tracks/003vvx7Niy0yvhvHt4a68B,https://api.spotify.com/v1/audio-analysis/003vvx7Niy0yvhvHt4a68B,222973,4,11.0,3.0,-0.3337796883923666,1.0,12.0,1.0,-0.0308357142857142
141,spotify:track:4D7BCuvgdJlYvlX5WlN54t,Taylor Swift,"You're On Your Own, Kid",Taylor Swift,6,138,15,2091736,0.696,0.396,2,-10.289,1,0.0656,0.401,5.2e-06,0.125,0.38,120.041,audio_features,spotify:track:4D7BCuvgdJlYvlX5WlN54t,https://api.spotify.com/v1/tracks/4D7BCuvgdJlYvlX5WlN54t,https://api.spotify.com/v1/audio-analysis/4D7BCuvgdJlYvlX5WlN54t,194207,4,22.0,4.0,-0.4320622086524963,1.0,19.0,6.0,0.0015346153846153
142,spotify:track:4SqWKzw0CbA05TGszDgMlc,The Walters,I Love You So,Warner Records,9,146,66,2088464,0.575,0.648,10,-4.891,1,0.0358,0.583,0.0,0.115,0.466,75.977,audio_features,spotify:track:4SqWKzw0CbA05TGszDgMlc,https://api.spotify.com/v1/tracks/4SqWKzw0CbA05TGszDgMlc,https://api.spotify.com/v1/audio-analysis/4SqWKzw0CbA05TGszDgMlc,160240,4,9.0,5.0,-0.1768265877451215,0.0,14.0,0.0,-0.0262714285714285
143,spotify:track:7DbdUf8aHSYoliSjO6LZv6,Beach Weather,"Sex, Drugs, Etc.",8123 / Arista Records,61,141,20,2081508,0.572,0.839,4,-5.083,0,0.0377,0.013,0.00976,0.522,0.465,143.969,audio_features,spotify:track:7DbdUf8aHSYoliSjO6LZv6,https://api.spotify.com/v1/tracks/7DbdUf8aHSYoliSjO6LZv6,https://api.spotify.com/v1/audio-analysis/7DbdUf8aHSYoliSjO6LZv6,196784,4,26.0,7.0,-0.3576963092341567,0.0,31.0,2.0,-0.005560606060606
144,spotify:track:0RiRZpuVRbi7oqRdSMwhQY,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,Republic Records,1,159,220,2076657,0.755,0.522,2,-4.368,1,0.0575,0.533,0.0,0.0685,0.925,89.96,audio_features,spotify:track:0RiRZpuVRbi7oqRdSMwhQY,https://api.spotify.com/v1/tracks/0RiRZpuVRbi7oqRdSMwhQY,https://api.spotify.com/v1/audio-analysis/0RiRZpuVRbi7oqRdSMwhQY,157560,4,6.0,3.0,-0.2026953697204589,0.0,9.0,0.0,0.0630999999999999
145,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Blinding Lights,Republic Records,1,143,162,2075948,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,audio_features,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,https://api.spotify.com/v1/tracks/0VjIjW4GlUZAMYd2vXMi3b,https://api.spotify.com/v1/audio-analysis/0VjIjW4GlUZAMYd2vXMi3b,200040,4,13.0,6.0,-0.2145049948441355,2.0,15.0,2.0,-0.0327684210526315
146,spotify:track:5fEB6ZmVkg63GZg9qO86jh,PARTYNEXTDOOR,Break from Toronto,OVO Sound,110,119,4,2073319,0.595,0.678,9,-5.18,1,0.0335,0.0199,0.00389,0.418,0.259,117.067,audio_features,spotify:track:5fEB6ZmVkg63GZg9qO86jh,https://api.spotify.com/v1/tracks/5fEB6ZmVkg63GZg9qO86jh,https://api.spotify.com/v1/audio-analysis/5fEB6ZmVkg63GZg9qO86jh,99213,4,16.0,9.0,-0.1989240932464599,3.0,20.0,2.0,-0.067
147,spotify:track:6VhuP99TE6gYNQRJIlAWFD,Stephen Sanchez,Until I Found You,Republic Records,30,140,38,2071802,0.346,0.5,10,-6.097,1,0.0388,0.757,0.0,0.189,0.191,202.466,audio_features,spotify:track:6VhuP99TE6gYNQRJIlAWFD,https://api.spotify.com/v1/tracks/6VhuP99TE6gYNQRJIlAWFD,https://api.spotify.com/v1/audio-analysis/6VhuP99TE6gYNQRJIlAWFD,176667,3,14.0,9.0,-0.123687920363053,1.0,19.0,3.0,0.0376043478260869
148,spotify:track:7sO5G9EABYOXQKNPNiE9NR,"Offset, Metro Boomin",Ric Flair Drip (with Metro Boomin),"Slaughter Gang, LLC/Epic/Quality Control Music/Motown/Capitol/Boominati Worldwide/Republic",4,156,164,2069851,0.88,0.428,9,-8.28,1,0.206,0.149,5.05e-05,0.114,0.333,100.007,audio_features,spotify:track:7sO5G9EABYOXQKNPNiE9NR,https://api.spotify.com/v1/tracks/7sO5G9EABYOXQKNPNiE9NR,https://api.spotify.com/v1/audio-analysis/7sO5G9EABYOXQKNPNiE9NR,172800,4,7.0,0.0,-0.6037953921726772,3.0,4.0,0.0,-0.0283428571428571
149,spotify:track:1SjsVdSXpwm1kTdYEHoPIT,Zach Bryan,Sun to Me,Warner Records,106,190,4,2065625,0.505,0.27,9,-9.165,0,0.0333,0.593,0.0,0.133,0.557,98.721,audio_features,spotify:track:1SjsVdSXpwm1kTdYEHoPIT,https://api.spotify.com/v1/tracks/1SjsVdSXpwm1kTdYEHoPIT,https://api.spotify.com/v1/audio-analysis/1SjsVdSXpwm1kTdYEHoPIT,163032,4,19.0,12.0,-0.141684724438575,1.0,23.0,7.0,0.0202
150,spotify:track:2J6OF7CkpdQGSfm1wdclqn,Brent Faiyaz,Clouded,Lost Kids,65,135,18,2064674,0.583,0.344,2,-8.765,1,0.0559,0.774,0.0,0.143,0.581,65.203,audio_features,spotify:track:2J6OF7CkpdQGSfm1wdclqn,https://api.spotify.com/v1/tracks/2J6OF7CkpdQGSfm1wdclqn,https://api.spotify.com/v1/audio-analysis/2J6OF7CkpdQGSfm1wdclqn,110129,3,29.0,14.0,-0.2121106815892596,3.0,31.0,9.0,0.1074558139534883
151,spotify:track:37F7E7BKEw2E4O2L7u0IEp,Freddie Dredd,Limbo,Doomshop Records/RCA Records,94,117,12,2063846,0.802,0.623,11,-5.862,0,0.459,0.0292,0.055,0.113,0.457,74.987,audio_features,spotify:track:37F7E7BKEw2E4O2L7u0IEp,https://api.spotify.com/v1/tracks/37F7E7BKEw2E4O2L7u0IEp,https://api.spotify.com/v1/audio-analysis/37F7E7BKEw2E4O2L7u0IEp,169947,4,16.0,7.0,-0.2357091748196145,0.0,18.0,5.0,0.1416478260869565
152,spotify:track:3GCdLUSnKSMJhs4Tj6CV3s,"Kendrick Lamar, SZA",All The Stars (with SZA),Black Panther (TDE/DMG) PS,2,161,62,2057851,0.698,0.633,8,-4.946,1,0.0597,0.0605,0.000194,0.0926,0.552,96.924,audio_features,spotify:track:3GCdLUSnKSMJhs4Tj6CV3s,https://api.spotify.com/v1/tracks/3GCdLUSnKSMJhs4Tj6CV3s,https://api.spotify.com/v1/audio-analysis/3GCdLUSnKSMJhs4Tj6CV3s,232187,4,14.0,2.0,-0.4580694548785686,4.0,12.0,0.0,-0.1336
153,spotify:track:5oeOWXjH8NZFOWP0SpSXqV,Mac DeMarco,Chamber Of Reflection,Captured Tracks,125,125,5,2050816,0.535,0.554,11,-8.672,1,0.0792,0.263,0.904,0.105,0.512,131.226,audio_features,spotify:track:5oeOWXjH8NZFOWP0SpSXqV,https://api.spotify.com/v1/tracks/5oeOWXjH8NZFOWP0SpSXqV,https://api.spotify.com/v1/audio-analysis/5oeOWXjH8NZFOWP0SpSXqV,231720,4,22.0,1.0,-0.5501635592916737,0.0,22.0,1.0,0.1945086956521739
154,spotify:track:0mflMxspEfB0VbI1kyLiAv,Noah Kahan,Stick Season,Mercury Records/Republic Records,43,137,30,2043563,0.662,0.488,9,-6.894,1,0.0682,0.782,0.0,0.102,0.817,117.913,audio_features,spotify:track:0mflMxspEfB0VbI1kyLiAv,https://api.spotify.com/v1/tracks/0mflMxspEfB0VbI1kyLiAv,https://api.spotify.com/v1/audio-analysis/0mflMxspEfB0VbI1kyLiAv,182347,4,16.0,4.0,-0.3678712069988251,1.0,17.0,2.0,-0.00267
155,spotify:track:6PGoSes0D9eUDeeAafB2As,"Kendrick Lamar, Zacari",LOVE. FEAT. ZACARI.,Aftermath,5,166,120,2042966,0.8,0.585,10,-7.343,1,0.0924,0.264,0.0,0.153,0.779,126.058,audio_features,spotify:track:6PGoSes0D9eUDeeAafB2As,https://api.spotify.com/v1/tracks/6PGoSes0D9eUDeeAafB2As,https://api.spotify.com/v1/audio-analysis/6PGoSes0D9eUDeeAafB2As,213400,4,19.0,6.0,-0.3120388531684875,3.0,21.0,1.0,-0.0356519999999999
156,spotify:track:58k32my5lKofeZRtIvBDg9,Baby Keem,HONEST,Baby Keem LLC,39,133,26,2040726,0.676,0.536,2,-8.79,1,0.0432,0.403,3.37e-05,0.105,0.373,79.037,audio_features,spotify:track:58k32my5lKofeZRtIvBDg9,https://api.spotify.com/v1/tracks/58k32my5lKofeZRtIvBDg9,https://api.spotify.com/v1/audio-analysis/58k32my5lKofeZRtIvBDg9,172672,4,13.0,11.0,-0.0569336488842964,1.0,22.0,1.0,0.02805
157,spotify:track:04HeNxRRVjcwctfp2K2kMu,Lil Yachty,the ride-,Quality Control Music/Motown Records,157,-1,1,2037447,0.414,0.791,1,-4.847,0,0.0661,0.381,0.00102,0.375,0.588,151.895,audio_features,spotify:track:04HeNxRRVjcwctfp2K2kMu,https://api.spotify.com/v1/tracks/04HeNxRRVjcwctfp2K2kMu,https://api.spotify.com/v1/audio-analysis/04HeNxRRVjcwctfp2K2kMu,190581,4,32.0,9.0,-0.3527807767798261,1.0,35.0,5.0,-0.0329853658536585
158,spotify:track:4lH6nENd1y81jp7Yt9lTBX,Future,Solo,Epic/Freebandz/A1,123,129,13,2033980,0.784,0.486,5,-6.497,0,0.0475,0.0538,0.497,0.101,0.0894,110.964,audio_features,spotify:track:4lH6nENd1y81jp7Yt9lTBX,https://api.spotify.com/v1/tracks/4lH6nENd1y81jp7Yt9lTBX,https://api.spotify.com/v1/audio-analysis/4lH6nENd1y81jp7Yt9lTBX,265996,4,21.0,5.0,-0.3667846597157992,2.0,21.0,3.0,0.0606576923076923
159,spotify:track:0wXuerDYiBnERgIpbb3JBR,Childish Gambino,Redbone,Glassnote Entertainment Group LLC,9,152,154,2029643,0.743,0.344,1,-11.174,1,0.118,0.169,0.00879,0.103,0.577,160.15,audio_features,spotify:track:0wXuerDYiBnERgIpbb3JBR,https://api.spotify.com/v1/tracks/0wXuerDYiBnERgIpbb3JBR,https://api.spotify.com/v1/audio-analysis/0wXuerDYiBnERgIpbb3JBR,326933,4,15.0,14.0,-0.0458422447073048,0.0,28.0,1.0,0.0372344827586206
160,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,Taylor Swift,Don’t Blame Me,"Big Machine Records, LLC",80,169,31,2028954,0.615,0.534,9,-6.719,0,0.0386,0.106,1.76e-05,0.0607,0.193,135.917,audio_features,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,https://api.spotify.com/v1/tracks/1R0a2iXumgCiFb7HEZ7gUE,https://api.spotify.com/v1/audio-analysis/1R0a2iXumgCiFb7HEZ7gUE,236413,4,32.0,12.0,-0.2675945894284682,1.0,40.0,3.0,0.0151431818181818
161,spotify:track:3eX0NZfLtGzoLUxPNvRfqm,Taylor Swift,Maroon,Taylor Swift,3,153,15,2028800,0.637,0.398,7,-8.294,1,0.0564,0.0573,1.03e-06,0.101,0.0374,108.075,audio_features,spotify:track:3eX0NZfLtGzoLUxPNvRfqm,https://api.spotify.com/v1/tracks/3eX0NZfLtGzoLUxPNvRfqm,https://api.spotify.com/v1/audio-analysis/3eX0NZfLtGzoLUxPNvRfqm,218271,4,16.0,4.0,-0.3429044842720031,0.0,17.0,3.0,0.11385
162,spotify:track:65OVbaJR5O1RmwOQx0875b,"Drake, Lil Baby",Wants and Needs (feat. Lil Baby),OVO,2,157,97,2026414,0.578,0.449,1,-6.349,1,0.286,0.0618,2.17e-06,0.119,0.1,136.006,audio_features,spotify:track:65OVbaJR5O1RmwOQx0875b,https://api.spotify.com/v1/tracks/65OVbaJR5O1RmwOQx0875b,https://api.spotify.com/v1/audio-analysis/65OVbaJR5O1RmwOQx0875b,192956,4,41.0,9.0,-0.3955471050739288,1.0,43.0,6.0,-0.012158
163,spotify:track:6clDsO8HwhHEgJDDp88VdL,"Cordae, Anderson .Paak",Two Tens (feat. Anderson .Paak),Art@War/Atlantic Records,163,-1,1,2022578,0.603,0.546,4,-7.525,0,0.35,0.194,2.68e-06,0.0783,0.667,87.99,audio_features,spotify:track:6clDsO8HwhHEgJDDp88VdL,https://api.spotify.com/v1/tracks/6clDsO8HwhHEgJDDp88VdL,https://api.spotify.com/v1/audio-analysis/6clDsO8HwhHEgJDDp88VdL,152372,4,6.0,8.0,0.0702894330024719,2.0,12.0,0.0,0.0451928571428571
164,spotify:track:200x8ONbPfFzByUr3fVz46,Cole Swindell,She Had Me At Heads Carolina,Warner Music Nashville,35,196,29,2018873,0.607,0.912,8,-3.449,1,0.0611,0.124,0.0,0.332,0.722,134.944,audio_features,spotify:track:200x8ONbPfFzByUr3fVz46,https://api.spotify.com/v1/tracks/200x8ONbPfFzByUr3fVz46,https://api.spotify.com/v1/audio-analysis/200x8ONbPfFzByUr3fVz46,206107,4,21.0,3.0,-0.456328531106313,4.0,18.0,2.0,-0.1219166666666666
165,spotify:track:1qMMYpVatbRITKCfq1gasi,Future,PUFFIN ON ZOOTIEZ,Epic/Freebandz,4,158,37,2016156,0.883,0.657,8,-5.748,1,0.305,0.0603,0.0,0.128,0.284,124.992,audio_features,spotify:track:1qMMYpVatbRITKCfq1gasi,https://api.spotify.com/v1/tracks/1qMMYpVatbRITKCfq1gasi,https://api.spotify.com/v1/audio-analysis/1qMMYpVatbRITKCfq1gasi,172933,4,20.0,8.0,-0.2541473571743284,3.0,21.0,4.0,-0.1572821428571428
166,spotify:track:09mEdoA6zrmBPgTEN5qXmN,The Weeknd,Call Out My Name,Universal Republic Records,1,139,71,2015847,0.461,0.593,1,-4.954,1,0.0356,0.17,0.0,0.307,0.175,134.17,audio_features,spotify:track:09mEdoA6zrmBPgTEN5qXmN,https://api.spotify.com/v1/tracks/09mEdoA6zrmBPgTEN5qXmN,https://api.spotify.com/v1/audio-analysis/09mEdoA6zrmBPgTEN5qXmN,228373,3,10.0,7.0,-0.1201755860272575,1.0,13.0,3.0,0.1123294117647058
167,spotify:track:2yjlYDiNiQkdxVqTlaSrlX,Nicki Minaj,Super Freaky Girl,Republic Records,2,112,25,2010494,0.951,0.878,2,-2.565,1,0.211,0.0509,1.61e-05,0.321,0.923,133.014,audio_features,spotify:track:2yjlYDiNiQkdxVqTlaSrlX,https://api.spotify.com/v1/tracks/2yjlYDiNiQkdxVqTlaSrlX,https://api.spotify.com/v1/audio-analysis/2yjlYDiNiQkdxVqTlaSrlX,170977,4,16.0,7.0,-0.2588819835496985,0.0,22.0,1.0,0.0533086956521739
168,spotify:track:26hOm7dTtBi0TdpDGl141t,Joji,Die For You,88rising Music/Warner Records,23,149,13,1993533,0.472,0.518,8,-7.379,1,0.051,0.383,0.127,0.289,0.154,147.805,audio_features,spotify:track:26hOm7dTtBi0TdpDGl141t,https://api.spotify.com/v1/tracks/26hOm7dTtBi0TdpDGl141t,https://api.spotify.com/v1/audio-analysis/26hOm7dTtBi0TdpDGl141t,211667,4,23.0,8.0,-0.2854110387063795,6.0,24.0,1.0,-0.0661612903225806
169,spotify:track:6eT2V7nKXyMf47TwPbtgAD,SZA,Seek & Destroy,Top Dawg Entertainment/RCA Records,10,106,8,1990528,0.651,0.647,1,-5.415,1,0.0654,0.437,0.175,0.205,0.345,152.069,audio_features,spotify:track:6eT2V7nKXyMf47TwPbtgAD,https://api.spotify.com/v1/tracks/6eT2V7nKXyMf47TwPbtgAD,https://api.spotify.com/v1/audio-analysis/6eT2V7nKXyMf47TwPbtgAD,203733,4,23.0,14.0,-0.1721154854104325,6.0,29.0,2.0,-0.004
170,spotify:track:5uQOauh47VFt3B2kV9kRXw,A Boogie Wit da Hoodie,My Shit,Highbridge The Label,82,-1,17,1979858,0.812,0.621,5,-8.3,1,0.0515,0.244,0.0,0.099,0.847,77.998,audio_features,spotify:track:5uQOauh47VFt3B2kV9kRXw,https://api.spotify.com/v1/tracks/5uQOauh47VFt3B2kV9kRXw,https://api.spotify.com/v1/audio-analysis/5uQOauh47VFt3B2kV9kRXw,128157,4,4.0,4.0,-0.0090421736240386,0.0,5.0,3.0,0.2246875
171,spotify:track:2SiAcexM2p1yX6joESbehd,ROSALÍA,LLYLM,Columbia,171,-1,1,1976449,0.555,0.634,6,-5.522,0,0.273,0.129,2.32e-06,0.188,0.555,170.228,audio_features,spotify:track:2SiAcexM2p1yX6joESbehd,https://api.spotify.com/v1/tracks/2SiAcexM2p1yX6joESbehd,https://api.spotify.com/v1/audio-analysis/2SiAcexM2p1yX6joESbehd,174045,4,15.0,5.0,-0.3018312126398086,0.0,20.0,0.0,0.0526
172,spotify:track:4FAKtPVycI4DxoOHC01YqD,"Yandel, Feid",Yandel 150,La Leyenda LLC,172,-1,1,1974368,0.783,0.729,6,-3.549,0,0.0691,0.0492,0.000272,0.1,0.58,167.968,audio_features,spotify:track:4FAKtPVycI4DxoOHC01YqD,https://api.spotify.com/v1/tracks/4FAKtPVycI4DxoOHC01YqD,https://api.spotify.com/v1/audio-analysis/4FAKtPVycI4DxoOHC01YqD,216148,4,37.0,9.0,-0.3612431015657342,4.0,39.0,3.0,-0.1027021739130434
173,spotify:track:2qOm7ukLyHUXWyR4ZWLwxA,Ice Cube,It Was A Good Day,Priority Records,100,189,36,1970202,0.798,0.744,7,-5.328,0,0.136,0.33,0.000106,0.292,0.794,82.356,audio_features,spotify:track:2qOm7ukLyHUXWyR4ZWLwxA,https://api.spotify.com/v1/tracks/2qOm7ukLyHUXWyR4ZWLwxA,https://api.spotify.com/v1/audio-analysis/2qOm7ukLyHUXWyR4ZWLwxA,260000,4,6.0,1.0,-0.4395589317594255,0.0,7.0,0.0,-0.0678714285714285
174,spotify:track:285pBltuF7vW8TeWk8hdRR,Juice WRLD,Lucid Dreams,Juice WRLD Mixtape / ISR P&D,1,167,244,1969764,0.511,0.566,6,-7.23,0,0.2,0.349,0.0,0.34,0.218,83.903,audio_features,spotify:track:285pBltuF7vW8TeWk8hdRR,https://api.spotify.com/v1/tracks/285pBltuF7vW8TeWk8hdRR,https://api.spotify.com/v1/audio-analysis/285pBltuF7vW8TeWk8hdRR,239836,4,11.0,5.0,-0.2096090503036975,0.0,13.0,3.0,0.19798125
175,spotify:track:1eUGmzzvahJjOSWgDHuRlv,Miguel,Girl With The Tattoo Enter.lewd,Jive,101,178,4,1967263,0.372,0.239,6,-11.314,0,0.0296,0.856,0.000175,0.168,0.127,113.451,audio_features,spotify:track:1eUGmzzvahJjOSWgDHuRlv,https://api.spotify.com/v1/tracks/1eUGmzzvahJjOSWgDHuRlv,https://api.spotify.com/v1/audio-analysis/1eUGmzzvahJjOSWgDHuRlv,102813,4,3.0,3.0,-0.0204290151596069,0.0,4.0,2.0,0.1723666666666666
176,spotify:track:5MwynWK9s4hlyKHqhkNn4A,Morgan Wallen,Chasin' You,Big Loud Records,55,191,101,1966191,0.631,0.591,7,-5.785,1,0.0277,0.657,0.0,0.11,0.489,97.074,audio_features,spotify:track:5MwynWK9s4hlyKHqhkNn4A,https://api.spotify.com/v1/tracks/5MwynWK9s4hlyKHqhkNn4A,https://api.spotify.com/v1/audio-analysis/5MwynWK9s4hlyKHqhkNn4A,205453,4,18.0,9.0,-0.2168353199958801,1.0,23.0,3.0,0.0759777777777777
177,spotify:track:01Lr5YepbgjXAWR9iOEyH1,Chief Keef,Love Sosa,UMGRI Interscope,44,177,52,1965267,0.772,0.413,0,-8.193,0,0.089,0.0361,0.0,0.111,0.211,131.965,audio_features,spotify:track:01Lr5YepbgjXAWR9iOEyH1,https://api.spotify.com/v1/tracks/01Lr5YepbgjXAWR9iOEyH1,https://api.spotify.com/v1/audio-analysis/01Lr5YepbgjXAWR9iOEyH1,246213,4,18.0,2.0,-0.459613174200058,4.0,12.0,4.0,-0.1225349999999999
